height,time,treatment,plantnum,cupnum
1.7,12,c,1,1
3,24,c,1,1
5.3,36,c,1,1
8.2,48,c,1,1
13.7,60,c,1,1
16.5,72,c,1,1
21.6,84,c,1,1
25.3,96,c,1,1
27,108,c,1,1
0.1,12,c,2,1
0.1,24,c,2,1
0.4,36,c,2,1
0.9,48,c,2,1
3.4,60,c,2,1
5.2,72,c,2,1
10.2,84,c,2,1
14.2,96,c,2,1
19.9,108,c,2,1
0.3,12,c,3,2
0.7,24,c,3,2
2.2,36,c,3,2
4.2,48,c,3,2
6.5,60,c,3,2
12.4,72,c,3,2
16.5,84,c,3,2
17.8,96,c,3,2
20.9,108,c,3,2
0.5,12,c,4,3
1.2,24,c,4,3
1.5,36,c,4,3
1.7,48,c,4,3
2,60,c,4,3
3.2,72,c,4,3
5.3,84,c,4,3
11.7,96,c,4,3
15.4,108,c,4,3
0,12,c,5,4
0,24,c,5,4
0.1,36,c,5,4
0.2,48,c,5,4
0.2,60,c,5,4
0.4,72,c,5,4
1.8,84,c,5,4
2.2,96,c,5,4
8.9,108,c,5,4
0.9,12,w,6,5
3.2,24,w,6,5
5,36,w,6,5
8,48,w,6,5
11.8,60,w,6,5
15.2,72,w,6,5
17,84,w,6,5
20.7,96,w,6,5
25.7,108,w,6,5
0.8,12,w,7,5
1.2,24,w,7,5
2.2,36,w,7,5
3.6,48,w,7,5
6.4,60,w,7,5
11.1,72,w,7,5
18.2,84,w,7,5
21,96,w,7,5
23.9,108,w,7,5
0.1,12,w,8,6
0.3,24,w,8,6
0.8,36,w,8,6
1,48,w,8,6
1.8,60,w,8,6
3,72,w,8,6
5.2,84,w,8,6
12.2,96,w,8,6
17.4,108,w,8,6
0,12,w,9,6
0.1,24,w,9,6
0.2,36,w,9,6
0.5,48,w,9,6
0.7,60,w,9,6
1.3,72,w,9,6
2.8,84,w,9,6
8.7,96,w,9,6
13.2,108,w,9,6
0.2,12,w,10,7
0.3,24,w,10,7
0.7,36,w,10,7
1,48,w,10,7
2.3,60,w,10,7
3.6,72,w,10,7
8,84,w,10,7
13.1,96,w,10,7
19,108,w,10,7
0.3,12,w,11,8
0.8,24,w,11,8
1.3,36,w,11,8
2,48,w,11,8
2.6,60,w,11,8
4.5,72,w,11,8
6.9,84,w,11,8
9.5,96,w,11,8
13.3,108,w,11,8
