rank,film,year,fbombs,minutes,source
1,Swearnet: The Movie,2014,935,112,
2,Fuck—a documentary on the word,2005,857,93,
3,The Wolf of Wall Street,2013,569,180,SI
4,Summer of Sam,1999,435,142,PO
5,Nil by Mouth,1997,428,128,SI
6,Casino,1995,422,178,FMG
7,Uncut Gems,2019,408,135,PI
8,Straight Outta Compton,2015,392,167,SI
9,Alpha Dog,2007,367,118,SI
10,End of Watch,2012,326,109,KIM
11,Twin Town,1997,318,99,SI
12,Running Scared,2006,315,122,SI
13,Sweet Sixteen,2002,313,106,DR
14,Martin Lawrence Live: Runteldat,2002,311,113,SI
15,Menace II Society,1993,305,98,PO
16,Goodfellas,1990,300,146,FMG
17,Narc,2002,297,105,FMG
18,Harsh Times,2006,296,120,SI
19,Made,2001,291,94,FMG
20,Another Day in Paradise,1998,291,101,SI
21,Pride and Glory,2008,291,125,SI
22,Dirty,2005,280,97,FMG
23,I'm Still Here,2010,280,107,FMG
24,Jarhead,2005,278,123,SI
25,Bully,2001,274,113,FMG
26,State Property 2,2005,271,94,SI
27,Brooklyn's Finest,2010,270,140,SI
27,Reservoir Dogs,1992,269,99,FMG
28,Pulp Fiction,1994,265,154,FMG
29,The Big Lebowski,1998,260,117,FMG
30,Jay and Silent Bob Strike Back,2001,248,104,FMG
31,Wheelman,2017,244,82,IMDb
32,Free Fire,2016,240,90,KIM
33,Do the Right Thing,1989,240,120,SD
34,The Boondock Saints,1999,239,110,FMG
35,The Departed,2006,237,151,SI
36,Empire,2002,236,90,FMG
37,True Romance,1993,234,121,FMG
38,Black Mass,2015,234,122,SI
39,Resolution,2012,231,93,
40,Goon,2012,231,93,KIM
41,My Name Is Joe,1998,230,105,SI
42,State of Grace,1990,230,134,FMG
43,Gridlock'd,1997,227,91,SI
44,The Devil's Rejects,2005,224,109,FMG
45,Eddie Murphy Raw,1987,223,90,FMG
46,Suicide Kings,1997,222,106,FMG
47,Zack and Miri Make a Porno,2008,219,101,SI
48,30 Minutes or Less,2011,218,83,KIM
49,Black and White,1999,215,98,SI
50,American History X,1998,214,119,FMG
51,The Original Kings of Comedy,2000,213,115,FMG
52,Hot Tub Time Machine,2010,212,100,SI
53,Monument Ave.,1998,210,93,PO
54,Layer Cake,2004,210,105,FMG
55,All Eyez on Me,2017,210,140,PI
56,Scarface,1983,207,170,FMG
57,Spun,2002,203,101,FMG
58,Dysfunktional Family,2003,200,89,SI
59,Foolish,1999,200,97,SI
60,This Is The End,2013,200,106,KIM
61,8 Mile,2002,200,110,SI
62,22 Jump Street,2014,200,112,PI
63,Skin,2019,200,120,PI
64,A Bronx Tale,1993,200,122,FMG
65,I Got the Hook Up,1998,197,93,SI
66,Sabotage,2014,196,109,SI
67,Born on the Fourth of July,1989,196,145,FMG
68,Next Day Air,2009,193,84,SI
69,Killing Them Softly,2012,193,97,SI
70,Overnight,2003,191,82,FMG
71,Ten Benny,1996,190,108,KIM
72,Superbad,2007,190,118,SI
73,Magnolia,1999,190,188,FMG
74,Monster,2003,187,110,FMG
75,Belly,1998,186,96,SI
76,Hustle & Flow,2005,186,115,FMG
77,The Wall,2017,185,82,PI
78,Clockers,1995,185,128,PO
79,Get Rich or Die Tryin',2005,185,134,FMG
80,Bad Santa 2,2016,180,92,KIM
81,The 51st State,2001,180,93,FMG
82,Chopper,2000,179,94,
83,Bodied,2018,179,121,
84,Flawless,1999,178,112,FMG
85,Slam,1998,176,100,SI
86,Poetic Justice,1993,175,109,PO
87,Pineapple Express,2008,175,111,SI
88,Trainspotting,1996,175,95,
89,Project X,2012,175,88,KIM
90,Human Traffic,1999,174,100,PO
91,Bad Santa,2003,173,98,FMG
92,Tigerland,2000,173,100,MR
93,Donnie Brasco,1997,172,127,FMG
94,Mid90s,2018,171,84,KIM
95,Backstage,2000,170,86,SI
96,The Commitments,1991,169,118,FMG
97,Dolemite Is My Name,2019,169,117,KIM
98,Killerman,2019,169,112,KIM
99,Grindhouse,2007,169,191,SI
100,Four Rooms,1995,168,98,FMG
101,Death of a Dynasty,2003,167,93,KIM
102,Gang Related,1997,165,102,SI
103,District 9,2009,165,112,IMDb
104,Crank: High Voltage,2009,164,96,SI
105,Funny People,2009,164,153,SI
106,Boogie Nights,1997,164,155,FMG
107,Formula 51,2001,163,93,SI
108,Blood In Blood Out,1993,163,190,PO
109,21 and Over,2013,162,93,KIM
110,The Grey,2012,161,117,SI
111,Lone Survivor,2013,161,121,SI
112,Sausage Party,2016,160,89,PI
113,Good Time,2017,160,100,PI
114,Dirty Grandpa,2016,160,102,KIM
115,Sorry to Bother You,2018,160,105,KIM
116,Snatch,2000,159,102,FMG
117,Platoon,1986,159,120,FMG
118,Blue Collar,1978,158,114,TFF
119,The Heat,2013,158,117,KIM
120,Colors,1988,157,120,FMG
