last_update,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
2020-04-21 14:30:53,Alabama,Autauga,"Autauga, Alabama, US",01001,32.53952745,-86.64408227,Medium metro,55200.0,28,50.72,1,1.81
2020-04-21 14:30:53,Alabama,Baldwin,"Baldwin, Alabama, US",01003,30.72774991,-87.72207058,Small metro,208107.0,117,56.22,3,1.44
2020-04-21 14:30:53,Alabama,Barbour,"Barbour, Alabama, US",01005,31.868263,-85.3871286,Non-core,25782.0,22,85.33,0,0.0
2020-04-21 14:30:53,Alabama,Bibb,"Bibb, Alabama, US",01007,32.99642064,-87.1251146,Large fringe metro,22527.0,32,142.05,0,0.0
2020-04-21 14:30:53,Alabama,Blount,"Blount, Alabama, US",01009,33.98210918,-86.56790593,Large fringe metro,57645.0,22,38.16,0,0.0
2020-04-21 14:30:53,Alabama,Bullock,"Bullock, Alabama, US",01011,32.10030533,-85.71265535,Non-core,10352.0,11,106.26,0,0.0
2020-04-21 14:30:53,Alabama,Butler,"Butler, Alabama, US",01013,31.75300095,-86.68057478,Non-core,20025.0,14,69.91,0,0.0
2020-04-21 14:30:53,Alabama,Calhoun,"Calhoun, Alabama, US",01015,33.77483727,-85.82630386,Small metro,115098.0,80,69.51,3,2.61
2020-04-21 14:30:53,Alabama,Chambers,"Chambers, Alabama, US",01017,32.91360079,-85.39072749,Micropolitan,33826.0,257,759.77,15,44.34
2020-04-21 14:30:53,Alabama,Cherokee,"Cherokee, Alabama, US",01019,34.17805983,-85.60638968,Non-core,25853.0,12,46.42,0,0.0
2020-04-21 14:30:53,Alabama,Chilton,"Chilton, Alabama, US",01021,32.85044126,-86.7173256,Large fringe metro,43930.0,43,97.88,0,0.0
2020-04-21 14:30:53,Alabama,Choctaw,"Choctaw, Alabama, US",01023,32.02227341,-88.2656443,Non-core,13075.0,17,130.02,0,0.0
2020-04-21 14:30:53,Alabama,Clarke,"Clarke, Alabama, US",01025,31.68099859,-87.83548597,Non-core,24387.0,24,98.41,1,4.1
2020-04-21 14:30:53,Alabama,Clay,"Clay, Alabama, US",01027,33.26984193,-85.85836077,Non-core,13378.0,19,142.02,0,0.0
2020-04-21 14:30:53,Alabama,Cleburne,"Cleburne, Alabama, US",01029,33.67679204,-85.52005899,Non-core,14938.0,12,80.33,1,6.69
2020-04-21 14:30:53,Alabama,Coffee,"Coffee, Alabama, US",01031,31.39932826,-85.98901039,Micropolitan,51288.0,64,124.79,1,1.95
2020-04-21 14:30:53,Alabama,Colbert,"Colbert, Alabama, US",01033,34.69847452,-87.80168544,Small metro,54495.0,16,29.36,1,1.84
2020-04-21 14:30:53,Alabama,Conecuh,"Conecuh, Alabama, US",01035,31.43401703,-86.99320044,Non-core,12514.0,9,71.92,0,0.0
2020-04-21 14:30:53,Alabama,Coosa,"Coosa, Alabama, US",01037,32.93690146,-86.24847739,Micropolitan,10855.0,23,211.88,1,9.21
2020-04-21 14:30:53,Alabama,Covington,"Covington, Alabama, US",01039,31.2477854,-86.45050893,Non-core,37351.0,24,64.26,0,0.0
2020-04-21 14:30:53,Alabama,Crenshaw,"Crenshaw, Alabama, US",01041,31.72941803,-86.31593104,Non-core,13865.0,6,43.27,0,0.0
2020-04-21 14:30:53,Alabama,Cullman,"Cullman, Alabama, US",01043,34.13020303,-86.86888037,Micropolitan,82313.0,44,53.45,0,0.0
2020-04-21 14:30:53,Alabama,Dale,"Dale, Alabama, US",01045,31.43037123,-85.61095742,Micropolitan,49255.0,21,42.64,0,0.0
2020-04-21 14:30:53,Alabama,Dallas,"Dallas, Alabama, US",01047,32.32688101,-87.1086671,Micropolitan,40029.0,26,64.95,2,5.0
2020-04-21 14:30:53,Alabama,DeKalb,"DeKalb, Alabama, US",01049,34.45946862,-85.80782906,Non-core,71200.0,47,66.01,2,2.81
2020-04-21 14:30:53,Alabama,Elmore,"Elmore, Alabama, US",01051,32.59785413,-86.14415284,Medium metro,81212.0,68,83.73,1,1.23
2020-04-21 14:30:53,Alabama,Escambia,"Escambia, Alabama, US",01053,31.1256789,-87.15918694,Non-core,37328.0,16,42.86,0,0.0
2020-04-21 14:30:53,Alabama,Etowah,"Etowah, Alabama, US",01055,34.04567266,-86.04051873,Small metro,102939.0,100,97.14,8,7.77
2020-04-21 14:30:53,Alabama,Fayette,"Fayette, Alabama, US",01057,33.72076938,-87.73886638,Non-core,16585.0,3,18.09,0,0.0
2020-04-21 14:30:53,Alabama,Franklin,"Franklin, Alabama, US",01059,34.44235334,-87.84289505,Non-core,31542.0,18,57.07,0,0.0
2020-04-21 14:30:53,Alabama,Geneva,"Geneva, Alabama, US",01061,31.09389027,-85.83572839,Small metro,26491.0,4,15.1,0,0.0
2020-04-21 14:30:53,Alabama,Greene,"Greene, Alabama, US",01063,32.85504247,-87.95684022,Non-core,8426.0,32,379.78,0,0.0
2020-04-21 14:30:53,Alabama,Hale,"Hale, Alabama, US",01065,32.76039258,-87.63284988,Small metro,14887.0,31,208.24,1,6.72
2020-04-21 14:30:53,Alabama,Henry,"Henry, Alabama, US",01067,31.51148016,-85.24267944,Small metro,17124.0,18,105.12,0,0.0
2020-04-21 14:30:53,Alabama,Houston,"Houston, Alabama, US",01069,31.15197924,-85.29939599,Small metro,104352.0,70,67.08,2,1.92
2020-04-21 14:30:53,Alabama,Jackson,"Jackson, Alabama, US",01071,34.78144169,-85.99750489,Micropolitan,52094.0,38,72.95,2,3.84
2020-04-21 14:30:53,Alabama,Jefferson,"Jefferson, Alabama, US",01073,33.55554728,-86.895063,Large central metro,659892.0,691,104.71,26,3.94
2020-04-21 14:30:53,Alabama,Lamar,"Lamar, Alabama, US",01075,33.77995024,-88.09668032,Non-core,13933.0,9,64.59,0,0.0
2020-04-21 14:30:53,Alabama,Lauderdale,"Lauderdale, Alabama, US",01077,34.90171875,-87.65624729,Small metro,92585.0,24,25.92,4,4.32
2020-04-21 14:30:53,Alabama,Lawrence,"Lawrence, Alabama, US",01079,34.52041498,-87.31069453,Small metro,33171.0,10,30.15,0,0.0
2020-04-21 14:30:53,Alabama,Lee,"Lee, Alabama, US",01081,32.60154883,-85.35132246,Small metro,159287.0,311,195.25,18,11.3
2020-04-21 14:30:53,Alabama,Limestone,"Limestone, Alabama, US",01083,34.81185586,-86.98310072,Medium metro,93052.0,40,42.99,0,0.0
2020-04-21 14:30:53,Alabama,Lowndes,"Lowndes, Alabama, US",01085,32.1597283,-86.65158371,Medium metro,10236.0,31,302.85,0,0.0
